x,y,z
0.0,1.0,0.0
0.0,0.9992923059121104,0.01879418419790199
0.0,0.9971702253102854,0.03748200178228986
0.0,0.993636761762317,0.055957688126751004
0.0,0.9886969164907305,0.0741166791721001
0.0,0.9823576812941137,0.09185620321183541
0.0,0.9746280286510071,0.1090758625336864
0.0,0.9655188990203647,0.12567820162542417
0.0,0.9550431853565574,0.141569258729145
0.0,0.9432157148608378,0.15665909762247904
0.0,0.9300532279950949,0.17086231661708184
0.0,0.9155743547876023,0.18409853189370656
0.0,0.8997995884642966,0.19629283243839843
0.0,0.8827512564429074,0.20737620400507714
0.0,0.8644534887309945,0.21728591970507052
0.0,0.8449321837726206,0.22596589501303843
0.0,0.8242149717919994,0.23336700518011302
0.0,0.8023311756860037,0.23944736325784133
0.0,0.7793117695208827,0.24417255715943767
0.0,0.7551893346919362,0.24751584441668872
0.0,0.729998013808192,0.24945830353027235
0.0,0.7037734623673615,0.2499889410569178
0.0,0.6765527982894687,0.24910475382734035
0.0,0.6483745493805867,0.2468107459428265
0.0,0.6192785988010352,0.24311990045427553
0.0,0.5893061286152272,0.23805310588398157
0.0,0.5584995615030633,0.2316390380060108
0.0,0.5269025007153698,0.22391399755424143
0.0,0.4945596683583753,0.2149217047765685
0.0,0.4615168420945689,0.20471305199800144
0.0,0.4278207903495388,0.19334581559303798
0.0,0.39351920611649543,0.18088432899741977
0.0,0.3586606394521729,0.16739911860987577
0.0,0.3232944287596521,0.1529665046444862
0.0,0.2874706309553695,0.1376681691926624
0.0,0.25123995061914894,0.12159069393931717
0.0,0.21465366822753856,0.10482507014954326
0.0,0.17776356757203152,0.087466183699056
0.0,0.14062186246489822,0.0696122780628935
0.0,0.10328112283637648,0.05136439830161969
0.0,0.06579420032781048,0.03282581919181299
0.0,0.02821415348606608,0.014101460737370213
0.0,-0.009405827334912126,-0.004702705630437788
0.0,-0.047012495259097294,-0.023480256803513514
0.0,-0.08455262225337908,-0.04212492030376819
0.0,-0.12197307446589206,-0.06053117573745905
0.0,-0.15922088743104235,-0.07859485199306875
0.0,-0.19624334103478566,-0.09621371680285476
0.0,-0.2329880341340531,-0.11328805533141667
0.0,-0.2694029587247094,-0.129721234516731
0.0,-0.30543657355306647,-0.14542024996973732
0.0,-0.3410378770667658,-0.16029625233727085
0.0,-0.37615647960177195,-0.17426505014936416
0.0,-0.4107426747033074,-0.18724758630502858
0.0,-0.44474750947977937,-0.1991703854998206
0.0,-0.4781228538901267,-0.20996597006295653
0.0,-0.5108214688665077,-0.2195732418505213
0.0,-0.5427970731759209,-0.22793782803343168
0.0,-0.5740044089261136,-0.23501238882314715
0.0,-0.604399305623067,-0.2407568853935403
0.0,-0.6339387426893919,-0.24513880648261108
0.0,-0.6625809103551459,-0.24813335239157921
0.0,-0.6902852688348864,-0.2497235753400039
0.0,-0.717012605707203,-0.2499004753825842
0.0,-0.7427250914155169,-0.24866305134479388
0.0,-0.767386332811587,-0.24601830648907816
0.0,-0.7909614246659404,-0.241981208879544
0.0,-0.8134169990723246,-0.23657460666946198
0.0,-0.8347212726762435,-0.22982909879101518
0.0,-0.8548440916607452,-0.22178286177913079
0.0,-0.8737569744257753,-0.2124814337094964
0.0,-0.8914331519006985,-0.20197745647357107
0.0,-0.9078476054329236,-0.1903303778492022
0.0,-0.9229771021990093,-0.17760611505299032
0.0,-0.9368002280881276,-0.16387668167854746
0.0,-0.9492974180113426,-0.1492197801320077
0.0,-0.9604509835938065,-0.13371836187142325
0.0,-0.9702451382106759,-0.11746015793889125
0.0,-0.9786660193313146,-0.10053718244238856
0.0,-0.9857017081401548,-0.08304521179738429
0.0,-0.9913422464064479,-0.06508324267548754
0.0,-0.9955796505790266,-0.04675293172789594
0.0,-0.9984079230861294,-0.028158020254556784
0.0,-0.9998230608242916,-0.009403747075159999
0.0,-0.9998230608242916,0.009403747075159875
0.0,-0.9984079230861295,0.028158020254556666
0.0,-0.9955796505790268,0.0467529317278956
0.0,-0.9913422464064479,0.06508324267548765
0.0,-0.9857017081401548,0.08304521179738437
0.0,-0.9786660193313147,0.10053718244238845
0.0,-0.9702451382106759,0.11746015793889134
0.0,-0.9604509835938065,0.13371836187142314
0.0,-0.9492974180113427,0.1492197801320076
0.0,-0.9368002280881277,0.16387668167854735
0.0,-0.9229771021990096,0.17760611505299007
0.0,-0.9078476054329238,0.19033037784920212
0.0,-0.8914331519006986,0.20197745647357102
0.0,-0.8737569744257754,0.21248143370949638
0.0,-0.854844091660745,0.2217828617791308
0.0,-0.8347212726762436,0.22982909879101512
0.0,-0.8134169990723245,0.23657460666946203
0.0,-0.7909614246659403,0.241981208879544
0.0,-0.7673863328115871,0.24601830648907813
0.0,-0.742725091415517,0.24866305134479383
0.0,-0.7170126057072035,0.24990047538258414
0.0,-0.6902852688348865,0.24972357534000383
0.0,-0.6625809103551461,0.24813335239157921
0.0,-0.6339387426893918,0.24513880648261108
0.0,-0.6043993056230672,0.24075688539354034
0.0,-0.5740044089261137,0.23501238882314712
0.0,-0.5427970731759211,0.22793782803343174
0.0,-0.5108214688665076,0.21957324185052127
0.0,-0.47812285389012693,0.2099659700629566
0.0,-0.44474750947977953,0.19917038549982063
0.0,-0.410742674703308,0.1872475863050288
0.0,-0.37615647960177256,0.1742650501493644
0.0,-0.341037877066766,0.16029625233727093
0.0,-0.30543657355306714,0.1454202499697376
0.0,-0.26940295872470893,0.12972123451673082
0.0,-0.23298803413405356,0.11328805533141688
0.0,-0.1962433410347859,0.09621371680285487
0.0,-0.15922088743104215,0.07859485199306865
0.0,-0.12197307446589231,0.06053117573745917
0.0,-0.0845526222533791,0.0421249203037682
0.0,-0.047012495259097314,0.023480256803513525
0.0,-0.009405827334912815,0.004702705630438131
0.0,0.028214153486065832,-0.01410146073737009
0.0,0.06579420032781068,-0.03282581919181308
0.0,0.1032811228363758,-0.05136439830161935
0.0,0.14062186246489886,-0.0696122780628938
0.0,0.17776356757203127,-0.08746618369905589
0.0,0.21465366822753876,-0.10482507014954336
0.0,0.25123995061914844,-0.12159069393931694
0.0,0.2874706309553693,-0.1376681691926623
0.0,0.3232944287596521,-0.1529665046444862
0.0,0.35866063945217225,-0.1673991186098755
0.0,0.3935192061164952,-0.18088432899741969
0.0,0.427820790349538,-0.19334581559303773
0.0,0.46151684209456906,-0.2047130519980015
0.0,0.49455966835837484,-0.21492170477656836
0.0,0.5269025007153696,-0.22391399755424138
0.0,0.5584995615030633,-0.2316390380060108
0.0,0.5893061286152276,-0.23805310588398162
0.0,0.6192785988010349,-0.24311990045427548
